Month,Oil,Gas
Nov-21,"107,000","35,417,580"
Dec-21,"104,000","36,031,593"
Jan-22,"105,000","34,596,722"
Feb-22,"105,000","34,161,258"
Mar-22,"110,000","34,261,425"
Apr-22,"117,000","34,005,289"
May-22,"115,000","34,512,767"
Jun-22,"112,000","34,734,775"
Jul-22,"117,000","34,820,230"
Aug-22,"114,000","34,833,058"
Sep-22,"114,000","35,009,415"
Oct-22,"122,000","34,423,846"
Nov-22,"127,000","34,898,141"
Dec-22,"122,000","34,789,682"
Jan-23,"144,000","35,216,640"
Feb-23,"152,000","35,009,390"
Mar-23,"152,000","35,251,783"
Apr-23,"153,000","35,465,922"
May-23,"155,000","35,751,122"
Jun-23,"148,000","35,816,168"
Jul-23,"137,000","35,905,230"
Aug-23,"139,000","36,363,552"
Sep-23,"144,000","35,835,181"
Oct-23,"157,000","35,904,230"
Nov-23,"161,000","37,083,058"
Dec-23,"152,000","37,161,113"
Jan-24,"150,000","36,411,586"
Feb-24,"138,000","36,436,818"
Mar-24,"136,929","36,238,957"
Apr-24,"136,340","36,097,450"
May-24,"135,827","35,967,317"
Jun-24,"134,915","35,791,063"
