Date,Permian_Oil_Prod,Permian_Gas_Prod,Appalachia_Oil_Prod,Appalachia_Gas_Prod,Haynesville_Oil_Prod,Haynesville_Gas_Prod,WTI_Price,HH_Price,Permian_Regional_Storage,Total_Shale_Gas,Permian_Share,Appalachia_Share,Haynesville_Share,Daily_Oil_Rev,Daily_Gas_Rev,Total_Rev,Oil_Rev_Pct,Bottleneck_Proxy,WTI_Price_Lag1,WTI_Price_Lag3,WTI_Price_Lag6,WTI_Price_Roll3,WTI_Price_Roll6,HH_Price_Lag1,HH_Price_Lag3,HH_Price_Lag6,HH_Price_Roll3,HH_Price_Roll6,Permian_Gas_Prod_Lag1,Permian_Gas_Prod_Lag3,Permian_Gas_Prod_Lag6,Permian_Gas_Prod_Roll3,Permian_Gas_Prod_Roll6,Total_Shale_Gas_Lag1,Total_Shale_Gas_Lag3,Total_Shale_Gas_Lag6,Total_Shale_Gas_Roll3,Total_Shale_Gas_Roll6,Month
2018-01-01,2884004,9050555,99000,26725285,41863,7690653,63.7,3.87,801.75,43466493,20.821912179572436,61.48479703665074,17.693290783776828,183711054.8,6038904.801724138,189749959.60172415,96.81744079714193,11288.500155908949,57.88,51.58,46.63,59.406666666666666,54.61000000000001,2.82,2.88,2.98,3.233333333333333,3.076666666666666,9231199.0,9137926.0,8492882.0,9201590.333333334,9009695.666666666,44171173.0,40993876.0,39349300.0,43667725.0,42068685.333333336,1
2018-02-01,3054122,9757768,99000,27246602,42851,8028416,62.23,2.67,644.75,45032786,21.668141962169518,60.50392263094715,17.827935406883334,190058012.06,4491938.027586207,194549950.08758622,97.69111324594843,15134.188445133772,63.7,56.64,48.04,61.27,56.975,3.87,3.01,2.9,3.1199999999999997,3.0383333333333336,9050555.0,9323017.0,8565593.0,9346507.333333334,9208391.5,43466493.0,43365509.0,39718066.0,44223484.0,42954472.0,2
2018-03-01,3213639,10211959,100000,27279533,42008,8363485,62.73,2.69,605.8,45854977,22.27012130002813,59.49088797929176,18.23899072068011,201591574.47,4736236.156896552,206327810.62689656,97.70450908071665,16856.98085176626,62.23,57.88,49.82,62.88666666666666,59.126666666666665,2.67,2.82,2.98,3.0766666666666667,2.9899999999999998,9757768.0,9231199.0,8749884.0,9673427.333333334,9452070.666666666,45032786.0,44171173.0,40696995.0,44784752.0,43814135.666666664,3
2018-04-01,3272595,10489411,106000,27027143,41725,8546807,66.25,2.8,613.25,46063361,22.771701352838754,58.67384058232312,18.554458064838126,216809418.75,5063853.586206896,221873272.33620688,97.71768202051233,17104.624541377903,62.73,63.7,51.58,63.73666666666666,61.571666666666665,2.69,3.87,2.88,2.72,2.9766666666666666,10211959.0,9050555.0,9137926.0,10153046.0,9677318.166666666,45854977.0,43466493.0,40993876.0,45650374.666666664,44659049.833333336,4
2018-05-01,3290946,10719475,105000,27288318,42079,8952883,69.98,2.8,706.5,46960676,22.82649210586321,58.108869642336494,19.064638251800293,230300401.08,5174918.9655172415,235475320.04551727,97.80235187088101,15172.646850672329,66.25,62.23,56.64,66.32000000000001,63.794999999999995,2.8,2.67,3.01,2.763333333333333,2.9416666666666664,10489411.0,9757768.0,9323017.0,10473615.0,9910061.166666666,46063361.0,45032786.0,43365509.0,46293004.666666664,45258244.333333336,5
2018-06-01,3401605,11016026,106000,27759535,40929,9173787,67.87,2.97,815.2,47949348,22.974297794414223,57.8934566534669,19.132245552118874,230866931.35000002,5640965.037931034,236507896.38793105,97.6148935726533,13513.280176643768,69.98,62.73,57.88,68.03333333333335,65.46,2.8,2.69,2.82,2.856666666666667,2.966666666666667,10719475.0,10211959.0,9231199.0,10741637.333333334,10207532.333333334,46960676.0,45854977.0,44171173.0,46991128.333333336,45887940.166666664,6
2018-07-01,3481474,11420792,119000,28282349,40417,9324169,70.98,2.83,827.0,49027310,23.294755514834485,57.68692795913135,19.018316526034162,247115024.52,5572558.855172413,252687583.37517244,97.79468433678488,13809.90568319226,67.87,66.25,63.7,69.61000000000001,66.67333333333333,2.97,2.8,3.87,2.8666666666666667,2.793333333333333,11016026.0,10489411.0,9050555.0,11052097.666666666,10602571.833333334,47949348.0,46063361.0,43466493.0,47979111.333333336,46814743.0,7
2018-08-01,3665024,11928708,125000,29146442,40955,9507485,68.06,2.96,801.4,50582635,23.582614863776868,57.621438661706726,18.795946474516402,249441533.44,6087754.427586207,255529287.8675862,97.61759034418753,14884.836536061892,70.98,69.98,62.23,68.97000000000001,67.645,2.83,2.8,2.67,2.92,2.841666666666667,11420792.0,10719475.0,9757768.0,11455175.333333334,10964395.166666666,49027310.0,46960676.0,45032786.0,49186431.0,47739717.833333336,8
2018-09-01,3752873,12126346,128000,30116684,40348,9676663,70.23,3.0,815.25,51919693,23.35596629972369,58.00628289539386,18.637750804882455,263564270.79000002,6272247.931034483,269836518.7210345,97.67553778088912,14874.389451088624,68.06,67.87,62.73,69.75666666666667,68.895,2.96,2.97,2.69,2.9299999999999997,2.893333333333333,11928708.0,11016026.0,10211959.0,11825282.0,11283459.666666666,50582635.0,47949348.0,45854977.0,50509879.333333336,48750503.833333336,9
2018-10-01,3864540,12211233,134000,30510233,40976,10060176,70.75,3.28,886.5,52781642,23.13537915322907,57.80463025382954,19.059990592941386,273416205.0,6905662.8,280321867.8,97.53652369178457,13774.656514382403,70.23,70.98,66.25,69.68,69.645,3.0,2.83,2.8,3.0799999999999996,2.973333333333333,12126346.0,11420792.0,10489411.0,12088762.333333334,11570430.0,51919693.0,49027310.0,46063361.0,51761323.333333336,49870217.333333336,10
