Month,Oil,Gas
Nov-21,"36,602","14,516,026"
Dec-21,"36,770","14,681,087"
Jan-22,"35,950","14,509,371"
Feb-22,"36,611","14,590,024"
Mar-22,"38,037","14,481,500"
Apr-22,"37,496","14,985,816"
May-22,"36,001","15,355,596"
Jun-22,"35,225","15,308,892"
Jul-22,"34,842","15,397,173"
Aug-22,"35,764","15,621,544"
Sep-22,"36,623","16,039,054"
Oct-22,"35,887","16,413,410"
Nov-22,"35,219","16,449,398"
Dec-22,"33,514","16,271,585"
Jan-23,"35,644","16,424,212"
Feb-23,"35,762","16,887,547"
Mar-23,"35,257","16,642,304"
Apr-23,"34,590","16,678,925"
May-23,"34,588","17,235,960"
Jun-23,"31,393","16,469,354"
Jul-23,"32,112","16,614,628"
Aug-23,"32,181","16,619,791"
Sep-23,"31,310","16,535,150"
Oct-23,"32,821","16,380,143"
Nov-23,"32,891","16,692,304"
Dec-23,"33,700","15,466,944"
Jan-24,"32,374","15,189,640"
Feb-24,"32,886","16,039,789"
Mar-24,"32,829","15,966,494"
Apr-24,"32,696","15,815,876"
May-24,"32,493","15,605,874"
Jun-24,"32,222","15,338,978"
